id,slug,title,category,years,year_start,year_end,location,lat,lon,abstract,thumb,image,markdown,year,related_items
su_song,su_song,Su Song,person,1020–1101,,,"Kaifeng, China",34.797,114.307,"Su Song was a Chinese scholar of the Northern Song dynasty, active at the imperial court. He was an astronomer, pharmacologist, engineer, poet, and diplomat, embodying the encyclopedic scholarly tradition of medieval China",images/people/su_song_thumb.jpg,,content/people/su-song.en.md,1020,su-song-astronomical-clock-tower
al_jazari,al_jazari,Al-Jazari,person,1136–1206,1136.0,1206.0,"Diyarbakır, Turkey",37.924,40.21,"A 12th‑century engineer from the Islamic world famous for inventive machines. He designed playful yet accurate water clocks and early automata, mixing art and engineering to measure time. His illustrated treatise spread these ideas widely",images/people/al_jazari_thumb.jpg,,content/people/al-jazari.en.md,,al-jazari-astronomical-clock
giovanni_de_dondi,giovanni_de_dondi,Giovanni de’ Dondi,person,1318–1389,,,"Padua, Italy",45.407,11.875,"Giovanni Dondi, originally from Padua in Italy, came from a family of clockmakers: his father was one of the first creators of mechanical clocks. He trained at a very young age in this context of technical innovation at the dawn of European clockmaking.",images/people/Giovanni_dondi_dall_orologio_thumb.jpg,,content/people/giovanni-de-dondi.en.md,,giovanni-dondi-astrarium
christiaan_huygens,christiaan_huygens,Christiaan Huygens,person,1629–1695,,,"The Hague, Netherlands",52.080,4.311,"A Dutch scientist from a cultured family in The Hague. Educated at the University of Leiden in law and mathematics. Supported by his father Constantijn Huygens, he quickly turned toward science and engineering",images/people/christiaan_huygens_thumb.jpg,,content/people/christiaan-huygens.en.md,,huygens-s-clocks-pendulum-spring
jean_romilly,jean_romilly,Jean Romilly,person,1714–1796,,,"Paris, France",48.86,2.352,"A Geneva-born clockmaker established in Paris, Jean Romilly became a recognized figure in the technical and intellectual world of the 18th century. A friend of Jean-Jacques Rousseau and close to encyclopedist circles, he integrated into the Enlightenment network while remaining an innovative craftsman",images/people/jean_romilly_thumb.jpg,images/people/jean_romilly.jpg,content/people/jean-romilly.en.md,
jean_jacques_rousseau,jean_jacques_rousseau,Jean Jacques Rousseau,person,1712–1778,,,"Geneva, Switzerland",46.204,6.143,"A philosopher, writer, and musician from Geneva. The son and grandson of clockmakers, Rousseau grew up in an artisanal environment before becoming one of the major figures of the Enlightenment. Exiled, a traveler, and a marginal figure both at court and in the salons.",images/people/jean_jacques_rousseau_thumb.jpg,,content/people/jean-jacques-rousseau.en.md,
jean_antoine_lepine,jean_antoine_lepine,Jean-Antoine Lépine,person,1720–1814,,,"Challex, Switzerland",46.206,5.989,"Born in Challex (Pays de Gex) and trained by a Geneva clockmaker, Jean-Antoine Lépine settled in Paris at the age of 24. In 1756, he married the daughter of André-Charles Caron, clockmaker to the king, which introduced him to the royal court. Close to Enlightenment circles, he was also Beaumarchais’s brother-in-law and active within the intellectual milieu.",images/people/jean_antoine_lepine_thumb.jpg,,content/people/jean-antoine-lepine.en.md,
josiah_emery,josiah_emery,Josiah Emery,person,1725–1797,,,"Vaud, Switzerland",46.57,6.67,"Josiah Emery, born in the Canton of Vaud (Switzerland), settled in London where he became a precision clockmaker specializing in the refinement of the lever escapement recently invented by Thomas Mudge.",images/people/josiah_emery_thumb.jpg,images/people/josiah_emery.jpg,content/people/josiah-emery.en.md,,swiss-lever-escapement
pierre_frederic_ingold,pierre_frederic_ingold,Pierre Frederic Ingold,person,1787–1878,,,"Cret du Locle, Switzerland",47.083,6.8,"A Swiss clockmaker born in La Chaux-de-Fonds, he trained with Breguet in Paris, where he learned his methods and traveled on his behalf. After several failures in Switzerland, France, England, and the United States, he remained an isolated visionary, too far ahead of his time.",images/people/pierre_frederic_ingold_thumb.jpg,,content/people/pierre-frederic-ingold.en.md,
h_l_jaquet_droz,h_l_jaquet_droz,Henri-Louis Jaquet-Droz,person,1752–1791,,,"Neuchâtel, Switzerland",46.98,6.9,"The son of Pierre Jaquet-Droz, a Swiss clockmaker, Henri-Louis Jaquet-Droz grew up between Neuchâtel and Nancy, where he was trained in mathematics and precision mechanics. He ran a workshop in London, undertook numerous business trips, and then settled in Geneva to found a watchmaking manufacture.",images/people/henri_louis_jacquet_droz_thumb.jpg,,content/people/h-l-jaquet-droz.en.md,
justin_vulliamy,justin_vulliamy,Justin Vulliamy,person,1712–1797,,,"Vaud, Switzerland",46.57,6.67,"A Swiss clockmaker from the Pays de Vaud. Trained in Paris, Justin Vulliamy moved to London around 1730 to perfect the cylinder escapement, recently invented by George Graham. Partnered with Benjamin Gray, clockmaker to the court, he became an important figure in British clockmaking.",images/people/justin_vulliamy_thumb.jpg,images/people/justin_vulliamy.jpg,content/people/justin-vulliamy.en.md,
abraham_louis_breguet,abraham_louis_breguet,Abraham-Louis Breguet,person,1747–1823,,,"Neuchâtel, Switzerland",46.98,6.9,"Born in Neuchâtel (Switzerland), Abraham-Louis Breguet learned clockmaking from his stepfather, then perfected his craft in Paris under the guidance of Ferdinand Berthoud and Jean-Antoine Lépine. In 1775, he set up on the Quai de l’Horloge in Paris, the nerve center of clockmaking.",images/people/abraham_louis_breguet_thumb.jpg,,content/people/abraham-louis-breguet.en.md,,the_drunkard_s_key
honore_de_balzac,honore_de_balzac,Honore De Balzac,person,1799-1850,,,"Tours, France",47.394,0.684,"A major writer of the 19th century in France, Balzac made watchmaking a recurring literary motif in his work, where watches and clocks became powerful symbols.",images/people/honore_de_balzac_thumb.jpg,,content/people/honore-de-balzac.en.md,
john_harrison,john_harrison,John Harrison,person,1693–1776,,,"Yorkshire, England",53.959,-1.082,"A self-taught carpenter from Yorkshire, John Harrison trained himself in clockmaking. From the 1730s onward, he devoted himself entirely to developing a marine chronometer, supported by George Graham and the astronomer Edmond Halley.",images/people/john_harrison_thumb.jpg,,content/people/john-harrison.en.md,,john-harrison-s-h-4-chronometer
