id,slug,title,category,years,year_start,year_end,location,lat,lon,abstract,thumb,image,markdown,year
su_song,su_song,Su Song,person,1020–1101,,,"Kaifeng, China",,,"Su Song was a Chinese scholar of the Northern Song dynasty, active at the imperial court. He was an astronomer, pharmacologist, engineer, poet, and diplomat, embodying the encyclopedic scholarly tradition of medieval China.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/su_song.en.md,
al_jazari,al_jazari,Al-Jazari,person,1136–1206,1136.0,1206.0,"Diyarbakır, Turkey",37.924,40.21,"A 12th‑century engineer from the Islamic world famous for inventive machines. He designed playful yet accurate water clocks and early automata, mixing art and engineering to measure time. His illustrated treatise spread these ideas widely",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/al_jazari.en.md,
giovanni_de_dondi,giovanni_de_dondi,Giovanni de’ Dondi,person,1318–1389,,,"Padua, Italy",,,"Giovanni Dondi, originally from Padua in Italy, came from a family of clockmakers: his father was one of the first creators of mechanical clocks. He trained at a very young age in this context of technical innovation at the dawn of European clockmaking.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/giovanni_de_dondi.en.md,
christiaan_huygens,christiaan_huygens,Christiaan Huygens,person,1629–1695,,,"The Hague, Netherlands",,,"A Dutch scientist from a cultured family in The Hague. Educated at the University of Leiden in law and mathematics. Supported by his father Constantijn Huygens, he quickly turned toward science and engineering",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/christiaan_huygens.en.md,
jean_romilly,jean_romilly,Jean Romilly,person,1714–1796,,,"Geneva, Switzerland",,,"A Geneva-born clockmaker established in Paris, Jean Romilly became a recognized figure in the technical and intellectual world of the 18th century. A friend of Jean-Jacques Rousseau and close to encyclopedist circles, he integrated into the Enlightenment network while remaining an innovative craftsman",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_romilly.en.md,
jean_jacques_rousseau,jean_jacques_rousseau,Jean Jacques Rousseau,person,1712–1778,,,"Geneva, Switzerland",,,"A philosopher, writer, and musician from Geneva. The son and grandson of clockmakers, Rousseau grew up in an artisanal environment before becoming one of the major figures of the Enlightenment. Exiled, a traveler, and a marginal figure both at court and in the salons.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_jacques_rousseau.en.md,
jean_antoine_lepine,jean_antoine_lepine,Jean-Antoine Lépine,person,1720–1814,,,"Challex, Switzerland",,,"Born in Challex (Pays de Gex) and trained by a Geneva clockmaker, Jean-Antoine Lépine settled in Paris at the age of 24. In 1756, he married the daughter of André-Charles Caron, clockmaker to the king, which introduced him to the royal court. Close to Enlightenment circles, he was also Beaumarchais’s brother-in-law and active within the intellectual milieu.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_antoine_lepine.en.md,
josiah_emery,josiah_emery,Josiah Emery,person,1725–1797,,,"Vaud, Switzerland",,,"Josiah Emery, born in the Canton of Vaud (Switzerland), settled in London where he became a precision clockmaker specializing in the refinement of the lever escapement recently invented by Thomas Mudge.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/josiah_emery.en.md,
pierre_frederic_ingold,pierre_frederic_ingold,Pierre Frederic Ingold,person,1787–1878,,,"La Chaux-de-Fonds, Switzerland",,,"A Swiss clockmaker born in La Chaux-de-Fonds, he trained with Breguet in Paris, where he learned his methods and traveled on his behalf. After several failures in Switzerland, France, England, and the United States, he remained an isolated visionary, too far ahead of his time.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/pierre_frederic_ingold.en.md,
h_l_jaquet_droz,h_l_jaquet_droz,Henri-Louis Jaquet-Droz,person,1752–1791,,,"Neuchâtel, Switzerland",,,"The son of Pierre Jaquet-Droz, a Swiss clockmaker, Henri-Louis Jaquet-Droz grew up between Neuchâtel and Nancy, where he was trained in mathematics and precision mechanics. He ran a workshop in London, undertook numerous business trips, and then settled in Geneva to found a watchmaking manufacture.",images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/h_l_jaquet_droz.en.md,
