id,slug,title,category,years,year_start,year_end,location,lat,lon,abstract,thumb,image,content_path,markdown,type,thumbnail,hero_image,year,md_path
armillary-sphere,armillary-sphere,Armillary Sphere,device,,,1600.0,"Alexandria, Egypt",31.2,29.918,A three-dimensional model of the heavens composed of nested rings. Scholars used it to visualize celestial motions and teach cosmology.,images/devices/armillary-sphere_thumb.jpg,images/devices/armillary-sphere_hero.jpg,,,,,,-200.0,content/devices/armillary-sphere.en.md
astrolabe,astrolabe,Astrolabe,device,200–1600,,,Mediterranean / Islamic World / Europe,,,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/astrolabe.en.md,content/devices/astrolabe.en.md,,,,,
atomic_clock,atomic_clock,Atomic Clock,device,1949–,,,USA / Global,39.828,-98.579,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/atomic_clock.en.md,content/devices/atomic_clock.en.md,,,,,
atomic-clock,atomic-clock,Atomic Clock,device,,,2025.0,"Washington, D.C., USA",38.907,-77.037,"Microwave transitions in cesium defined the second and synchronized global systems. Atomic clocks underpin GPS, telecoms, and finance.",images/devices/atomic-clock_thumb.jpg,images/devices/atomic-clock_hero.jpg,,,,,,1955.0,content/devices/atomic-clock.en.md
babylonian-water-clock-clepsydra,babylonian-water-clock-clepsydra,Babylonian Water Clock (Clepsydra),device,,,-500.0,"Babylon (near Baghdad), Iraq",33.315,44.366,"A regulated flow of water measured equal intervals independent of sunlight. Clepsydrae timed rituals, legal proceedings, and astronomical work in ancient Mesopotamia.",images/devices/babylonian-water-clock-clepsydra_thumb.jpg,images/devices/babylonian-water-clock-clepsydra_hero.jpg,,,,,,-1400.0,content/devices/babylonian-water-clock-clepsydra.en.md
clepsydra_water_clock,clepsydra_water_clock,Clepsydra (Water Clock),device,-1500–-300,,,Egypt / Greece,39.0742,21.8243,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/clepsydra_water_clock.en.md,content/devices/clepsydra_water_clock.en.md,,,,,
early-mechanical-clock,early-mechanical-clock,Early Mechanical Clock,device,,,1350.0,"Nuremberg, Germany",49.454,11.077,Weight-driven tower clocks with verge escapements appeared in European cities. They made civic time audible and public.,images/devices/early-mechanical-clock_thumb.jpg,images/devices/early-mechanical-clock_hero.jpg,,,,,,1280.0,content/devices/early-mechanical-clock.en.md
egyptian-sundial,egyptian-sundial,Egyptian Sundial,device,,,-1200.0,"Cairo, Egypt",30.044,31.236,"One of the earliest instruments to measure daytime hours using the sun’s shadow. Egyptian sundials structured agricultural work, ritual calendars, and state administration by aligning daily life with celestial rhythms.",images/devices/egyptian-sundial_thumb.jpg,images/devices/egyptian-sundial_hero.jpg,,,,,,-1500.0,content/devices/egyptian-sundial.en.md
gnomon,gnomon,Gnomon,device,-800–-200,,,Ancient Greece / China,39.0742,21.8243,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/gnomon.en.md,content/devices/gnomon.en.md,,,,,
greek-gnomon,greek-gnomon,Greek Gnomon,device,,,-200.0,"Athens, Greece",37.984,23.727,"A vertical rod used to read the sun’s altitude and mark time, seasons, and geographic latitude. The gnomon helped Greek astronomers quantify the heavens with geometry.",images/devices/greek-gnomon_thumb.jpg,images/devices/greek-gnomon_hero.jpg,,,,,,-600.0,content/devices/greek-gnomon.en.md
hourglass,hourglass,Hourglass,device,1300–1900,,,Europe,,,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/hourglass.en.md,content/devices/hourglass.en.md,,,,,
marine_chronometer,marine_chronometer,Marine Chronometer,device,1760–1900,,,United Kingdom / France / Switzerland,46.818,8.227,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/marine_chronometer.en.md,content/devices/marine_chronometer.en.md,,,,,
marine-chronometer,marine-chronometer,Marine Chronometer,device,,,1800.0,"Greenwich, England",51.482,0.0,Harrison’s chronometers solved longitude at sea by keeping accurate shipboard time. Navigation became safer and global trade accelerated.,images/devices/marine-chronometer_thumb.jpg,images/devices/marine-chronometer_hero.jpg,,,,,,1760.0,content/devices/marine-chronometer.en.md
mechanical_tower_clock,mechanical_tower_clock,Mechanical Tower Clock,device,1300–1500,,,Europe,,,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/mechanical_tower_clock.en.md,content/devices/mechanical_tower_clock.en.md,,,,,
nocturnal,nocturnal,Nocturnal,device,,,1600.0,"Venice, Italy",45.44,12.315,A hand-held device to tell time at night from circumpolar stars. Mariners used nocturnals when the sun was not visible.,images/devices/nocturnal_thumb.jpg,images/devices/nocturnal_hero.jpg,,,,,,1500.0,content/devices/nocturnal.en.md
pendulum_clock,pendulum_clock,Pendulum Clock,device,1656–1800,,,Netherlands / Europe,52.132,5.291,TBD,images/devices/device_thumb.png,images/devices/device_hero.png,content/devices/pendulum_clock.en.md,content/devices/pendulum_clock.en.md,,,,,
pendulum-clock,pendulum-clock,Pendulum Clock,device,,,1700.0,"The Hague, Netherlands",52.08,4.311,"Huygens applied the pendulum to clock escapements, boosting accuracy orders of magnitude. The pendulum clock became Europe’s time standard.",images/devices/pendulum-clock_thumb.jpg,images/devices/pendulum-clock_hero.jpg,,,,,,1656.0,content/devices/pendulum-clock.en.md
quartz-watch,quartz-watch,Quartz Watch,device,,,1975.0,"Tokyo, Japan",35.689,139.692,Seiko’s quartz oscillators democratized accurate timekeeping. Mass-produced electronics disrupted Swiss dominance and changed the watch industry.,images/devices/quartz-watch_thumb.jpg,images/devices/quartz-watch_hero.jpg,,,,,,1969.0,content/devices/quartz-watch.en.md
su-songs-astronomical-clock-tower,su-songs-astronomical-clock-tower,Su Song’s Astronomical Clock Tower,device,,,1094.0,"Kaifeng, China",34.797,114.307,"An 11‑meter tower integrating automata, an escapement-like waterwheel, and chain transmission. It modeled celestial motions and struck the hours in the Song dynasty.",images/devices/su-songs-astronomical-clock-tower_thumb.jpg,images/devices/su-songs-astronomical-clock-tower_hero.jpg,,,,,,1090.0,content/devices/su-songs-astronomical-clock-tower.en.md
