id,slug,title,category,years,year_start,year_end,location,lat,lon,abstract,thumb,image,content_path,markdown
su_song,su_song,Su Song,person,1020–1101,,,"Kaifeng, China",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/su_song.en.md,content/people/su_song.en.md
ibn_al_haytham,ibn_al_haytham,Ibn al-Haytham,person,965–1040,,,Basra / Cairo (Iraq/Egypt),,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/ibn_al_haytham.en.md,content/people/ibn_al_haytham.en.md
richard_of_wallingford,richard_of_wallingford,Richard of Wallingford,person,1292–1336,,,"St Albans, England",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/richard_of_wallingford.en.md,content/people/richard_of_wallingford.en.md
giovanni_de_dondi,giovanni_de_dondi,Giovanni de’ Dondi,person,1318–1389,,,"Padua, Italy",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/giovanni_de_dondi.en.md,content/people/giovanni_de_dondi.en.md
leonardo_da_vinci,leonardo_da_vinci,Leonardo da Vinci,person,1452–1519,,,"Florence/Milan, Italy",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/leonardo_da_vinci.en.md,content/people/leonardo_da_vinci.en.md
christiaan_huygens,christiaan_huygens,Christiaan Huygens,person,1629–1695,,,"The Hague, Netherlands",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/christiaan_huygens.en.md,content/people/christiaan_huygens.en.md
jean_rousseau,jean_rousseau,Jean Rousseau,person,,,,"Geneva, Switzerland",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_rousseau.en.md,content/people/jean_rousseau.en.md
jean_romilly,jean_romilly,Jean Romilly,person,1714–1796,,,Geneva / Paris (Switzerland/France),,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_romilly.en.md,content/people/jean_romilly.en.md
jean_antoine_lepine,jean_antoine_lepine,Jean-Antoine Lépine,person,1720–1814,,,"Paris, France",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/jean_antoine_lepine.en.md,content/people/jean_antoine_lepine.en.md
pierre_jaquet_droz,pierre_jaquet_droz,Pierre Jaquet-Droz,person,1721–1790,,,"La Chaux-de-Fonds, Switzerland",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/pierre_jaquet_droz.en.md,content/people/pierre_jaquet_droz.en.md
abraham_louis_breguet,abraham_louis_breguet,Abraham-Louis Breguet,person,1747–1823,,,"Paris, France",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/abraham_louis_breguet.en.md,content/people/abraham_louis_breguet.en.md
james_cox,james_cox,James Cox,person,1723–1800,,,"London, England",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/james_cox.en.md,content/people/james_cox.en.md
john_harrison,john_harrison,John Harrison,person,1693–1776,,,"Yorkshire / London, England",,,TBD,images/placeholders/person_thumb.png,images/placeholders/person_hero.png,content/people/john_harrison.en.md,content/people/john_harrison.en.md
