row_index,title,md_file,score
6,Anticythère,l_anticyth_re.en.md,1.0
12,Charlemagne’s Clock,l_horloge_de_charlemagne.en.md,0.5
16,Clock of Gaza (Ridwan),l_horloge_de_gaza.en.md,0.5
17,Al-Jazari’s Candle Clock,jazari.en.md,0.25
21,Astrarium of Giovanni Dondi,de_giovanni.en.md,0.333
24,Jost Bürgi’s Rotating Sphere,la_sph_re_tournante_de_jost.en.md,0.333
26,Huygens’ Pendulum Clocks,les_horloges_de_huygens.en.md,0.25
35,Quartz Clock,l_horloge_quartz.en.md,0.5
41,Su Song,horloge_astronomique_de_su.en.md,0.333
44,Christiaan Huygens,les_horloges_de_huygens.en.md,0.333
45,John Harrison,le_chronom_tre_h_4_de_john_harrison.en.md,0.4
59,Al‑Jazarī,jazari.en.md,0.5
60,Giovanni Dondi dell’Orologio,de_giovanni.en.md,0.25
63,Jost Bürgi,la_sph_re_tournante_de_jost.en.md,0.25
64,Christiaan Huygens,les_horloges_de_huygens.en.md,0.333
68,John Harrison,le_chronom_tre_h_4_de_john_harrison.en.md,0.4
