id,slug,title,category,year,year_end,years,origin_location,lat,lon,abstract,thumb,image,time_context,sensory_mode,accuracy_level,portability,scale,mechanism_type,region_group,purpose,tags,links,content_path,markdown
clepsydra,clepsydra,Clepsydra (Water Clock),device,-1400,-1300,-1400–-1300,"Thebes, Egypt",25.717,32.657,Ancient Egyptian water clock measuring time by regulated water flow; used in temples and night observations.,images/devices/clepsydra_thumb.jpg,images/devices/clepsydra_hero.jpg,public_civic,visual;auditory,low,stationary,architectural,hydraulic,North Africa,ritual;astronomy,ancient;temple;hydraulic,https://en.wikipedia.org/wiki/Water_clock,content/devices/clepsydra-water-clock.en.md,
greek-sundial,greek-sundial,Greek Sundial,device,-500,100,-500–100,"Athens, Greece",37.9838,23.7275,Stone sundial dividing daylight into hours by the Sun’s shadow; widespread in the Greco‑Roman world.,images/devices/sundial_thumb.jpg,images/devices/sundial_hero.jpg,public_civic,visual,low,fixed,architectural,gnomon,Europe,civic;ritual,ancient;sundial,,content/devices/greek-sundial.en.md,
mariner-s-astrolabe,mariner-s-astrolabe,Mariner’s Astrolabe,device,1480,1600,1480–1600,"Lisbon, Portugal",38.7223,-9.1393,Brass ring instrument for measuring stellar altitude at sea to estimate latitude; essential to early oceanic navigation.,images/devices/mariners_astrolabe_thumb.jpg,images/devices/mariners_astrolabe.jpg,navigation_maritime,visual,medium,portable,handheld,observational,Europe,navigation,age-of-discovery;latitude;seafaring,,content/devices/mariner-s-astrolabe.en.md,
huygens-pendulum-clock,huygens-pendulum-clock,Huygens’ Pendulum Clock,device,1656,1700,1656–1700,"The Hague, Dutch Republic",52.0705,4.3007,"First practical pendulum clock, vastly improving accuracy and stabilizing timekeeping in Europe.",images/devices/pendulum_huygens_thumb.jpg,images/devices/pendulum_huygens.jpg,scientific_observatory,visual;auditory,high,furniture,domestic,pendulum;verge-to-anchor,Europe,astronomy;civil,pendulum;escapement;accuracy,,content/devices/huygens-pendulum-clock.en.md,
harrison-h4-marine-chronometer,harrison-h4-marine-chronometer,Harrison H4 Marine Chronometer,device,1759,1761,1759–1761,"London/Greenwich, Britain",51.4769,-0.0005,"Portable, precise timekeeper enabling longitude determination at sea; milestone in navigation.",images/devices/harrison_h4_thumb.jpg,images/devices/harrison_h4.jpg,navigation_maritime,visual,high,portable,handheld,spring_balance;temperature_compensation,Europe,navigation;longitude,chronometer;longitude;Harrison,,content/devices/harrison-h4-marine-chronometer.en.md,
lepine-caliber-pocket-watch,lepine-caliber-pocket-watch,Lépine Caliber Pocket Watch,device,1760,1800,1760–1800,"Paris, France",48.8566,2.3522,"Slim pocket‑watch architecture by Jean‑Antoine Lépine, simplifying gear‑train layout and enabling thinner cases.",images/devices/lepine_pocket_thumb.jpg,images/devices/lepine_pocket.jpg,personal_wearable,visual,medium,wearable,handheld,lepine_caliber,Europe,personal_time,watchmaking;thin-movement,,content/devices/lepine-caliber-pocket-watch.en.md,
breguet-tourbillon,breguet-tourbillon,Breguet Tourbillon,device,1801,1815,1801–1815,"Paris, France",48.8566,2.3522,Rotating cage for the escapement to average positional errors in pocket watches; patented by A.-L. Breguet.,images/devices/tourbillon_thumb.jpg,images/devices/tourbillon.jpg,personal_wearable,visual,high,wearable,handheld,tourbillon,Europe,precision;prestige,breguet;escapement;innovation,,content/devices/breguet-tourbillon.en.md,
quartz-crystal-oscillator-clock,quartz-crystal-oscillator-clock,Quartz Crystal Oscillator Clock,device,1927,1940,1927–1940,"New Jersey, USA",40.3573,-74.6672,Clock regulated by a quartz crystal’s piezoelectric resonance; step change in accuracy and stability.,images/devices/quartz_thumb.jpg,images/devices/quartz.jpg,industrial_lab,electrical,ultra,bench,instrument,quartz_oscillator,North America,telecom;standards,piezoelectric;frequency-standard,,content/devices/quartz-crystal-oscillator-clock.en.md,
cesium-atomic-clock,cesium-atomic-clock,Cesium Atomic Clock,device,1955,1967,1955–1967,"Teddington, UK",51.426,-0.339,Definition‑grade clock counting the hyperfine transition of cesium‑133; forms the basis of the SI second.,images/devices/cesium_thumb.jpg,images/devices/cesium.jpg,industrial_lab,electromagnetic,ultra,rack,instrument,atomic_cesium,Europe,time_standard;navigation,SI_second;metrology;NPL,,content/devices/cesium-atomic-clock.en.md,
su-song,su-song,Su Song,person,1020,1101,1020–1101,"Kaifeng, China",34.8,114.3,Northern Song polymath who designed the Kaifeng astronomical clock‑tower and authored a major horology treatise.,images/people/su_song_thumb.jpg,images/people/su_song.jpg,public_civic,,,,,,East Asia,astronomy;calendar,clock-tower;automation;chain-drive,,content/people/su-song.en.md,
