id,title,category,year,year_end,lat,lon,origin_location,region_group,time_context,mechanism_type,purpose,scale,sensory_mode,accuracy_level,portability,caption,image,thumb,__key,content_path
su-song,Su Song,person,1020,1101,34.8,114.3,Kaifeng,China,Scientific & observatory,Hydraulic escapement / astronomical clock tower,"Astronomical observation, civic timekeeping",Architectural,Visual / auditory,early_mechanical,Fixed,Chinese polymath who designed the 11m astronomical clock tower of Kaifeng (1090s) with hydraulic escapement and chain drive.,images/people/su_song.jpg,images/people/su_song_thumb.jpg,su_song,content/people/su_song.en.md
jean-romilly,Jean Romilly,person,1714,1796,48.8566,2.3522,Paris,France / Geneva,Personal & wearable,"Watchmaking, calendar displays",Portable timekeeping,Handheld,Visual,precision_watch,Portable,Genevan watchmaker in Paris; contributor to the Encyclopédie; early calendar watch designs.,images/people/jean_romilly.jpg,images/people/jean_romilly_thumb.jpg,jean_romilly,content/people/jean_romilly.en.md
jaquet-droz,Pierre Jaquet-Droz,person,1721,1790,47.099,6.825,La Chaux-de-Fonds,Switzerland,Public & civic,Automata / musical timepieces,"Entertainment, demonstration, luxury timepieces",Table-top,Visual / auditory,art_mechanical,Movable,"Swiss maker of automata (Writer, Musician, Draughtsman) and musical watches; fused horology with early robotics.",images/people/jaquet_droz.jpg,images/people/jaquet_droz_thumb.jpg,jaquet_droz,content/people/jaquet_droz.en.md
jean-antoine-lepine,Jean-Antoine Lépine,person,1720,1814,48.8566,2.3522,Paris,France,Personal & wearable,Lépine calibre; simplified movement,Portable timekeeping,Handheld,Visual,precision_watch,Portable,"Royal watchmaker; invented the Lépine calibre enabling thinner, simpler pocket watches.",images/people/jean_antoine_lepine.jpg,images/people/jean_antoine_lepine_thumb.jpg,jean_antoine_lepine,content/people/jean_antoine_lepine.en.md
jean-rousseau,Jean Rousseau,person,1606,1684,46.2044,6.1432,Geneva,Switzerland,Personal & wearable,Early pocket watches,"Portable timekeeping, luxury",Handheld,Visual,mechanical,Portable,Genevan horologist who helped establish Geneva as a European watchmaking center in the 17th century.,images/people/jean_rousseau.jpg,images/people/jean_rousseau_thumb.jpg,jean_rousseau,content/people/jean_rousseau.en.md
abraham-louis-breguet,Abraham-Louis Breguet,person,1747,1823,48.8566,2.3522,Paris,France / Switzerland,Personal & wearable,Tourbillon; self-winding; shock protection,High-precision portable timekeeping,Handheld,Visual / auditory,high_precision,Portable,"Seminal horologist: tourbillon (1801), self-winding 'perpétuelle', and iconic Breguet hands/numerals.",images/people/abraham_louis_breguet.jpg,images/people/abraham_louis_breguet_thumb.jpg,abraham_louis_breguet,content/people/abraham_louis_breguet.en.md
christiaan-huygens,Christiaan Huygens,person,1629,1695,52.0705,4.3007,The Hague / Paris,Netherlands / France,Scientific & observatory,Pendulum clock; isochronism,Scientific timekeeping,Architectural / domestic,Visual,high_precision,Fixed / portable,Inventor of the pendulum clock (1656); foundational advances in precision timekeeping for science and observatories.,images/people/christiaan_huygens.jpg,images/people/christiaan_huygens_thumb.jpg,christiaan_huygens,content/people/christiaan_huygens.en.md
galileo-galilei,Galileo Galilei,person,1564,1642,43.7696,11.2558,Pisa / Florence,Italy,Scientific & observatory,Pendulum timing concepts,"Astronomical observation, physics",Domestic / lab,Visual,conceptual,Fixed,Pioneered pendulum timing concepts linking periodic motion with time measurement; inspired later practical pendulum clocks.,images/people/galileo_galilei.jpg,images/people/galileo_galilei_thumb.jpg,galileo_galilei,content/people/galileo_galilei.en.md
robert-hooke,Robert Hooke,person,1635,1703,51.5074,-0.1278,London,England,Scientific & observatory,Balance spring (hairspring) concepts,Portable precision,Handheld / lab,Visual,precision_watch,Portable,Advanced balance-spring ideas and escapements; key to transforming watches into reliable portable timekeepers.,images/people/robert_hooke.jpg,images/people/robert_hooke_thumb.jpg,robert_hooke,content/people/robert_hooke.en.md
john-harrison,John Harrison,person,1693,1776,53.2,-0.5,Lincolnshire / London,England,Navigation & maritime,Marine chronometers (H1–H4),Longitude at sea,Shipboard,Visual,high_precision,Portable,Solved the ‘longitude problem’ with marine chronometers culminating in H4—revolutionizing navigation and global trade.,images/people/john_harrison.jpg,images/people/john_harrison_thumb.jpg,john_harrison,content/people/john_harrison.en.md
