id,title,year,year_end,lat,lon,origin_location,region_group,time_context,mechanism_type,purpose,scale,sensory_mode,accuracy_level,portability,caption,image,thumb,__key
dev_0001,Egyptian Sundial,-1500,,25.6872,32.6396,"Luxor, Egypt",North Africa,Household & ritual,sundial,ritual_religious;calendar_agricultural,monumental,visual,very_low,fixed,"A sundial is a stick that makes a shadow on a marked surface. As the Sun moves, the shadow moves and shows the time during daylight. Priests and workers in ancient Egypt used it to plan rituals and daily tasks. It’s simple: no gears or batteries—just sunlight and the shadow’s position.",images/dev_0001_image.png,images/dev_0001_thumb.png,egyptian sundial
dev_0005,Egyptian Water Clock (Clepsydra),-1400,,25.6872,32.6396,"Thebes, Egypt",North Africa,Household & ritual,water_clepsydra,ritual_religious;legal_judicial,civic,visual;auditory,low,movable,"This water clock was a large bowl with a tiny hole and marks inside. As water dripped out, the falling level showed the hours, even at night. Temple priests used it to time ceremonies and stargazing when the Sun wasn’t visible. It’s one of the first “weather‑proof” clocks in history.",images/dev_0005_image.png,images/dev_0005_thumb.png,egyptian water clock (clepsydra)
dev_2003,Karnak Temple Clepsydra (Temple of Amun),-1450,,25.7188,32.6573,"Karnak, Egypt",North Africa,Household & ritual,water_clepsydra,ritual_religious;calendar_agricultural,civic,visual,low,movable,"This water clock was a large bowl with a tiny hole and marks inside. As water dripped out, the falling level showed the hours, even at night. Temple priests used it to time ceremonies and stargazing when the Sun wasn’t visible. It’s one of the first “weather‑proof” clocks in history.",images/dev_2003_image.png,images/dev_2003_thumb.png,clepsydre du temple d'amon de karnak
dev_2027,Greek Clepsydras (Water Clocks),-400,,37.9755,23.7227,Greece,Europe,Household & ritual,water_clepsydra,ritual_religious;calendar_agricultural,civic,visual,low,movable,"Greek clepsydras were drip‑water timers used in public life. Courts used them to time speeches, and games used them to time events. Engineers like Ctesibius added a steady tank and gears so the flow stayed regular. They turned flowing water into a readable measure of time.",images/dev_2027_image.png,images/dev_2027_thumb.png,clepsydres grecques
dev_2004,Anaphoric Clock,-200,,37.9777,23.7381,Greece,Europe,Scientific & observatory,water_escapement,science_astronomy;civic_admin,civic,visual,low,fixed,An anaphoric clock is a show‑and‑tell sky clock. A patterned plate of the stars turns behind a grid so you can see which constellations rise and the time. Scholars used it to teach and track the heavens. It’s like a mechanical star map that also tells the hour.,images/dev_2004_image.png,images/dev_2004_thumb.png,horloge anaphorique
dev_2032,Archimedes’ Clock,-250,,37.0755,15.2866,"Syracuse, Sicily",Europe,Public & civic,water_mechanical,science_astronomy;civic_admin,civic,visual,low,movable,"This hydraulic clock, linked to Archimedes’ tradition, used water power to move parts and amaze viewers. It likely served learning and courtly entertainment as much as timekeeping. By turning steady flow into motion, it showed how clever mechanics could model time. It’s a bridge between water clocks and later mechanical shows.",images/dev_2032_image.png,images/dev_2032_thumb.png,horloge « d'archimède »
dev_2000,Anticythère,-100,,36.147,23.296,"Antikythera, Greece",Europe,Navigation & maritime,astronomical_computer,science_astronomy;navigation,domestic,visual;tactile,medium,movable,"The Antikythera Mechanism is a hand‑turned bronze computer from ancient Greece. Inside are many gears that predict the Sun, Moon, eclipses, and even festival dates. Scientists and sailors likely used it to plan and learn about the sky. Turn the handle and the pointers show the future dance of the heavens.",images/dev_2000_image.png,images/dev_2000_thumb.png,anticythère
dev_2026,Roman Sundials,-100,,41.90165,12.4787,"Obelisk of Montecitorio (Horologium Augusti), Rome",Europe,Nature-based,sundial,civic_admin,civic,visual,very_low,fixed,"Roman sundials stood in public places to give people a rough idea of the hour. They used the Sun’s shadow like other sundials but were set up around towns and forums. Citizens, officials, and shopkeepers checked them to time meetings and markets. They weren’t very precise, but they kept city life in rhythm.",images/dev_2026_image.png,images/dev_2026_thumb.png,cadrans solaires romains
dev_2024,Tower of the Winds (Andronikos),-50,,37.9755,23.7257,"Athens, Greece",Europe,Public & civic,water_clepsydra;sundial,science_astronomy;civic_admin,monumental,visual,low,fixed,"The Tower of the Winds in Athens was an all‑in‑one weather and time station. Sundials on the walls, a water clock inside, and a wind vane on top told people the hour and the winds. Traders and townsfolk used it near the market to plan their day. It brought science into the street in a way everyone could see.",images/dev_2024_image.png,images/dev_2024_thumb.png,tour des vents (andronikos)
dev_2015,Horologium of Augustus (gnomon),-10,,41.9028,12.4964,"Rome, Italy",Europe,Nature-based,sundial,science_astronomy;civic_admin,monumental,visual,very_low,fixed,"The Horologium of Augustus was a giant obelisk used as a Sun pointer in ancient Rome. Its long shadow fell on lines on the ground to mark noon and the seasons. The city linked public life to the sky and showed the emperor’s power. Think of it as a huge, shared sundial for the capital.",images/dev_2015_image.png,images/dev_2015_thumb.png,horologium augusti (gnomon)
