id,title,category,generated_markdown,csv_content_path,match_status
dev_0001,Egyptian Sundial,device,content/devices/dev-0001.en.md,,OK
dev_0005,Egyptian Water Clock (Clepsydra),device,content/devices/dev-0005.en.md,,OK
dev_2003,Karnak Temple Clepsydra (Temple of Amun),device,content/devices/dev-2003.en.md,,OK
dev_2027,Greek Clepsydras (Water Clocks),device,content/devices/dev-2027.en.md,,OK
dev_2004,Anaphoric Clock,device,content/devices/dev-2004.en.md,,OK
dev_2032,Archimedes’ Clock,device,content/devices/dev-2032.en.md,,OK
dev_2000,Anticythère,device,content/devices/dev-2000.en.md,,OK
dev_2026,Roman Sundials,device,content/devices/dev-2026.en.md,,OK
dev_2024,Tower of the Winds (Andronikos),device,content/devices/dev-2024.en.md,,OK
dev_2015,Horologium of Augustus (gnomon),device,content/devices/dev-2015.en.md,,OK
dev_2011,Chinese Fire Clock,device,content/devices/dev-2011.en.md,,OK
dev_2030,Candle Clock (simple),device,content/devices/dev-2030.en.md,,OK
dev_2017,Charlemagne’s Clock,device,content/devices/dev-2017.en.md,,OK
dev_0013,Japanese Incense Clock,device,content/devices/dev-0013.en.md,,OK
dev_2012,Oil Clock,device,content/devices/dev-2012.en.md,,OK
dev_0012,Su Song’s Astronomical Clock Tower,device,content/devices/dev-0012.en.md,,OK
dev_2008,Clock of Gaza (Ridwan),device,content/devices/dev-2008.en.md,,OK
dev_2031,Al-Jazari’s Candle Clock,device,content/devices/dev-2031.en.md,,OK
dev_2009,Mechanical Tower Clock with Foliot,device,content/devices/dev-2009.en.md,,OK
dev_2029,Hourglass,device,content/devices/dev-2029.en.md,,OK
dev_2018,Public Clock of Fez,device,content/devices/dev-2018.en.md,,OK
dev_2001,Astrarium of Giovanni Dondi,device,content/devices/dev-2001.en.md,,OK
dev_0010,Prague Astronomical Clock (Orloj),device,content/devices/dev-0010.en.md,,OK
dev_2025,Portable Sundials,device,content/devices/dev-2025.en.md,,OK
dev_2016,Jost Bürgi’s Rotating Sphere,device,content/devices/dev-2016.en.md,,OK
dev_2007,Galileo’s Clock,device,content/devices/dev-2007.en.md,,OK
dev_2014,Huygens’ Pendulum Clocks,device,content/devices/dev-2014.en.md,,OK
dev_0034b,Anchor Escapement Era,device,content/devices/dev-0034b.en.md,,OK
dev_2020,Cylinder Escapement,device,content/devices/dev-2020.en.md,,OK
dev_0014,Marine Chronometer (H4),device,content/devices/dev-0014.en.md,,OK
dev_2028,John Harrison’s H4 Marine Chronometer,device,content/devices/dev-2028.en.md,,OK
dev_0031,Tourbillon (Breguet),device,content/devices/dev-0031.en.md,,OK
dev_2019,Swiss Lever Escapement,device,content/devices/dev-2019.en.md,,OK
dev_2021,Man-nen Jimeisho (Variable Hours),device,content/devices/dev-2021.en.md,,OK
dev_0039,Early Wristwatch (Trench Watch),device,content/devices/dev-0039.en.md,,OK
dev_2013,Quartz Clock,device,content/devices/dev-2013.en.md,,OK
dev_2006,Atomic Clock,device,content/devices/dev-2006.en.md,,OK
dev_0035,Cesium Atomic Clock (NBS/NIST),device,content/devices/dev-0035.en.md,,OK
dev_2002,Bulova Accutron (tuning-fork watch),device,content/devices/dev-2002.en.md,,OK
dev_0034,Quartz Wristwatch (Seiko Astron),device,content/devices/dev-0034.en.md,,OK
dev_0042,Modern Smartwatch,device,content/devices/dev-0042.en.md,,OK
person_su_song,Su Song,person,content/people/person-su-song.en.md,,OK
person_galileo,Galileo Galilei,person,content/people/person-galileo.en.md,,OK
person_gemma_frisius,Gemma Frisius,person,content/people/person-gemma-frisius.en.md,,OK
person_huygens,Christiaan Huygens,person,content/people/person-huygens.en.md,,OK
person_harrison,John Harrison,person,content/people/person-harrison.en.md,,OK
person_george_graham,George Graham,person,content/people/person-george-graham.en.md,,OK
person_tompion,Thomas Tompion,person,content/people/person-tompion.en.md,,OK
person_pierre_le_roy,Pierre Le Roy,person,content/people/person-pierre-le-roy.en.md,,OK
person_guillaume,Charles Édouard Guillaume,person,content/people/person-guillaume.en.md,,OK
person_einstein,Albert Einstein,person,content/people/person-einstein.en.md,,OK
story_tower_of_winds,The Tower of the Winds,story,content/story/story-tower-of-winds.en.md,,OK
story_su_songs_tower,Su Song’s Astronomical Clock Tower,story,content/story/story-su-songs-tower.en.md,,OK
story_longitude_problem,Harrison’s Longitude Problem,story,content/story/story-longitude-problem.en.md,,OK
story_greenwich_observatory,Greenwich Observatory,story,content/story/story-greenwich-observatory.en.md,,OK
story_meridian_conference,International Meridian Conference,story,content/story/story-meridian-conference.en.md,,OK
story_french_rev_calendar,French Revolutionary Calendar,story,content/story/story-french-rev-calendar.en.md,,OK
story_relativity,Einstein’s Theory of Relativity,story,content/story/story-relativity.en.md,,OK
story_atomic_clock,The Atomic Clock,story,content/story/story-atomic-clock.en.md,,OK
